timestamp,satellite_id,bus_voltage,battery_temperature,reaction_wheel_speed,sun_sensor_intensity,operating_mode,anomaly_label
2026-01-15T00:00:00Z,SAT-1000,27.986,20.03,1544.2,0.7535,NOMINAL,0
2026-01-15T00:00:10Z,SAT-1001,27.357,20.18,1526.9,0.6145,NOMINAL,0
2026-01-15T00:00:20Z,SAT-1002,28.203,20.22,1520.5,0.6887,NOMINAL,0
2026-01-15T00:00:30Z,SAT-1003,27.335,19.58,1490.0,0.8583,NOMINAL,0
2026-01-15T00:00:40Z,SAT-1004,28.571,20.25,1485.0,0.9896,NOMINAL,0
2026-01-15T00:00:50Z,SAT-1005,27.696,19.95,1518.9,0.9733,NOMINAL,0
2026-01-15T00:01:00Z,SAT-1006,27.871,20.15,1536.7,0.9047,NOMINAL,0
2026-01-15T00:01:10Z,SAT-1000,27.776,19.63,1519.6,0.8318,NOMINAL,0
2026-01-15T00:01:20Z,SAT-1001,27.284,20.18,1743.2,0.8749,SAFE_HOLD,1
2026-01-15T00:01:30Z,SAT-1002,27.351,20.23,1512.8,0.6347,NOMINAL,0
2026-01-15T00:01:40Z,SAT-1003,27.489,20.51,1525.3,0.633,NOMINAL,0
2026-01-15T00:01:50Z,SAT-1004,27.739,20.76,1522.3,0.755,NOMINAL,0
2026-01-15T00:02:00Z,SAT-1005,27.808,20.23,1485.6,0.8029,NOMINAL,0
2026-01-15T00:02:10Z,SAT-1006,28.04,20.22,1471.4,0.8944,NOMINAL,0
2026-01-15T00:02:20Z,SAT-1000,28.369,20.49,1495.7,0.7222,NOMINAL,0
2026-01-15T00:02:30Z,SAT-1001,28.178,20.31,1467.4,0.9402,NOMINAL,0
2026-01-15T00:02:40Z,SAT-1002,27.908,20.12,1485.7,0.6333,NOMINAL,0
2026-01-15T00:02:50Z,SAT-1003,27.685,20.22,1454.8,0.9045,NOMINAL,0
2026-01-15T00:03:00Z,SAT-1004,27.281,20.31,1499.7,0.9199,NOMINAL,0
2026-01-15T00:03:10Z,SAT-1005,27.915,20.13,1513.8,0.9903,NOMINAL,0
2026-01-15T00:03:20Z,SAT-1006,28.4,20.46,1465.7,0.9498,NOMINAL,0
2026-01-15T00:03:30Z,SAT-1000,28.513,20.4,1507.2,0.952,NOMINAL,0
