source_file,n_servers,n_vms,require_all_on,classic_objective,classic_status,classic_time_s,quantum_objective,quantum_status,quantum_time_s,speedup_x,best_solver,n_classic_residuals,n_quantum_residuals
q_20260325_162226_results.json,1,1,True,11.000022,SUCCESS,0.08,11.000022,SUCCESS,1.256,0.063,classical,1,1
q_20260325_162257_results.json,2,1,True,22.00001,SUCCESS,0.169,22.00001,SUCCESS,1.636,0.103,classical,1,1
q_20260325_162332_results.json,3,1,True,33.0,SUCCESS,0.214,33.0,SUCCESS,2.227,0.096,classical,1,1
q_20260325_162424_results.json,4,1,True,43.0,SUCCESS,0.286,43.0,SUCCESS,3.21,0.089,classical,1,1
q_20260325_162632_results.json,5,1,True,53.0,SUCCESS,0.405,53.0,SUCCESS,6.107,0.066,classical,1,1
q_20260325_162819_results.json,6,1,True,63.000032,SUCCESS,0.511,63.000032,SUCCESS,24.165,0.021,classical,1,1
q_20260325_162230_results.json,1,2,True,11.000027,SUCCESS,0.122,11.000027,SUCCESS,1.386,0.088,classical,1,1
q_20260325_162301_results.json,2,2,True,22.00004,SUCCESS,0.238,22.00004,SUCCESS,1.652,0.144,classical,1,1
q_20260325_162343_results.json,3,2,True,33.000046,SUCCESS,1.329,33.000046,SUCCESS,7.274,0.183,classical,3,3
q_20260325_162436_results.json,4,2,True,43.000004,SUCCESS,1.158,43.000004,SUCCESS,8.228,0.141,classical,2,2
q_20260325_162642_results.json,5,2,True,53.0,SUCCESS,0.824,53.0,SUCCESS,6.461,0.128,classical,1,1
q_20260325_162845_results.json,6,2,True,63.000068,SUCCESS,1.253,63.000068,SUCCESS,22.273,0.056,classical,1,1
q_20260325_162235_results.json,1,3,True,11.0,SUCCESS,0.234,11.0,SUCCESS,1.753,0.134,classical,1,1
q_20260325_162306_results.json,2,3,True,22.000095,SUCCESS,0.502,22.000095,SUCCESS,2.007,0.25,classical,1,1
q_20260325_162349_results.json,3,3,True,33.000117,SUCCESS,0.744,33.000117,SUCCESS,2.765,0.269,classical,1,1
q_20260325_162446_results.json,4,3,True,43.000017,SUCCESS,1.083,43.000017,SUCCESS,4.614,0.235,classical,1,1
q_20260325_162703_results.json,5,3,True,53.000679,SUCCESS,2.38,53.000679,SUCCESS,15.017,0.158,classical,2,2
q_20260325_163004_results.json,6,3,True,63.000031,SUCCESS,5.278,63.000031,SUCCESS,70.791,0.075,classical,3,3
q_20260325_162240_results.json,1,4,True,11.000061,SUCCESS,0.387,11.000061,SUCCESS,1.579,0.245,classical,1,1
q_20260325_162312_results.json,2,4,True,22.000007,SUCCESS,0.599,22.000007,SUCCESS,2.272,0.264,classical,1,1
q_20260325_162356_results.json,3,4,True,33.000079,SUCCESS,1.012,33.000079,SUCCESS,2.947,0.344,classical,1,1
q_20260325_162457_results.json,4,4,True,43.000044,SUCCESS,1.549,43.000044,SUCCESS,5.209,0.297,classical,1,1
q_20260325_162715_results.json,5,4,True,53.001269,SUCCESS,2.12,53.001269,SUCCESS,7.452,0.284,classical,1,1
q_20260325_163055_results.json,6,4,True,63.000365,SUCCESS,5.521,63.000365,SUCCESS,41.878,0.132,classical,2,2
q_20260325_162246_results.json,1,5,True,11.000017,SUCCESS,0.572,11.000017,SUCCESS,1.627,0.352,classical,1,1
q_20260325_162317_results.json,2,5,True,22.0001,SUCCESS,0.751,22.0001,SUCCESS,1.841,0.408,classical,1,1
q_20260325_162403_results.json,3,5,True,33.000012,SUCCESS,1.159,33.000012,SUCCESS,3.164,0.366,classical,1,1
q_20260325_162531_results.json,4,5,True,43.000072,SUCCESS,8.147,43.000072,SUCCESS,22.448,0.363,classical,4,4
q_20260325_162732_results.json,5,5,True,53.000396,SUCCESS,2.981,53.000396,SUCCESS,10.045,0.297,classical,1,1
q_20260325_163123_results.json,6,5,True,63.000876,SUCCESS,3.906,63.000876,SUCCESS,20.098,0.194,classical,1,1
q_20260325_162251_results.json,1,6,True,11.000067,SUCCESS,0.763,11.000067,SUCCESS,1.741,0.438,classical,1,1
q_20260325_162326_results.json,2,6,True,22.000607,SUCCESS,1.928,22.000607,SUCCESS,4.681,0.412,classical,2,2
q_20260325_162417_results.json,3,6,True,33.000025,SUCCESS,3.632,33.000025,SUCCESS,8.016,0.453,classical,2,2
q_20260325_162621_results.json,4,6,True,43.000981,SUCCESS,15.08,43.000981,SUCCESS,31.64,0.477,classical,5,5
q_20260325_162751_results.json,5,6,True,53.00236,SUCCESS,4.425,53.00236,SUCCESS,11.151,0.397,classical,1,1
q_20260325_163230_results.json,6,6,True,63.000177,SUCCESS,11.23,63.000177,SUCCESS,53.355,0.21,classical,2,2
